tokenAddress;chainId;receiverAddress;value
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x8673d23bacdb4f85d5b04d7c63f8bfd15941ff48;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xa0beccf5aa2bed1978fcca4b8aa9bcee89ef23eb;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xed21735dc192dc4eeafd71b4dc023bc53fe4df15;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x103ac82daf13da683f6251dc0c5008198fb2a402;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x28a0fd1f4c5bce2a865620b82ed7b6625a4ea102;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x78a325fab6734b61a5f347adaa9ec9e79ff70204;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x342338dd5e3c3b35e7374f08cccd3b36bce7529e;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x54a4b60e1ad00d81acce4a5d6314a6e7158a86cb;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xe336fecf829f15914699791452d13c485708fc0a;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xa290b6a91ad7e5a31b67e5818e943de734526656;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x2965970af382332af40ff2a624e85600c65163de;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x2857dddab8971335c46d249f49fcf1b35bdfa3a9;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xbd896019a40dc76d463b793e641eb6defeed3043;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xd3f2ac56e52f52208120da31c427aff2dbe99992;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x3e82491aa3a1536f59001b6c02afb7d2457da58d;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xcb6d05d8253a725dff71b67488bb6ca7a711a9a5;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xf37e3834a1e16fe03c99d997a7a8c9de496e3fee;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x6e9fd384cb13ff073cd3b2ae0d40b5b010ede04e;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0xbaba775a0400a5e442335ceaa4820edb1ded8f73;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x2a234b41029eaad308c3c2a255f0ea9963ec0531;1.68552e+23
0xffe3CDC92F24988Be4f6F8c926758dcE490fe77E;8453;0x0fabf023b032659195f9d8590affc257412bb5d6;1.68552e+23
